Algorithm ,Case,Input Size(n),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
Bubble Sort,Random,500,359100.0,359700.0,356400.0,344600.0,358000.0,502100.0,343700.0,344900.0,383400.0,391700.0,349000.0,339100.0,360300.0,352600.0,492900.0,352600.0,366100.0,361000.0,539200.0,362200.0,380930.0
Bubble Sort,Sorted,500,61900.0,58300.0,61800.0,62200.0,63600.0,62200.0,62100.0,62200.0,58400.0,65200.0,62400.0,62100.0,61900.0,62400.0,62200.0,106500.0,63400.0,61800.0,76300.0,62000.0,64945.0
Bubble Sort,ReverseSorted,500,626100.0,580800.0,616400.0,618100.0,620600.0,696600.0,649700.0,615600.0,647600.0,653200.0,688200.0,621100.0,616600.0,765000.0,620200.0,685700.0,622900.0,745200.0,897500.0,620500.0,660380.0
Insertion Sort,Random,500,21800.0,21700.0,24000.0,21000.0,20900.0,27400.0,25800.0,21200.0,21400.0,26200.0,26000.0,20800.0,21600.0,21400.0,21700.0,22100.0,29900.0,21800.0,27000.0,21800.0,23275.0
Insertion Sort,Sorted,500,400.0,400.0,400.0,400.0,300.0,500.0,400.0,400.0,300.0,400.0,600.0,400.0,400.0,400.0,300.0,300.0,400.0,300.0,400.0,400.0,390.0
Insertion Sort,ReverseSorted,500,41000.0,40800.0,40700.0,40700.0,40700.0,56200.0,45000.0,40800.0,41400.0,42700.0,62400.0,40900.0,40700.0,41100.0,40600.0,41700.0,40800.0,40900.0,45200.0,40900.0,43260.0
Selection Sort,Random,500,299200.0,295000.0,299500.0,297200.0,298100.0,390700.0,330600.0,299300.0,299800.0,310000.0,297400.0,297700.0,299500.0,301200.0,300500.0,469900.0,298600.0,327400.0,329000.0,299200.0,316990.0
Selection Sort,Sorted,500,288100.0,288400.0,288100.0,288200.0,292100.0,288000.0,318400.0,288200.0,289500.0,296600.0,293200.0,288200.0,288500.0,288100.0,289000.0,288000.0,288700.0,346100.0,303100.0,288100.0,294330.0
Selection Sort,ReverseSorted,500,300100.0,287400.0,302200.0,301000.0,298800.0,448800.0,323200.0,301500.0,304500.0,304400.0,308900.0,304900.0,298200.0,299000.0,298900.0,298700.0,299100.0,362900.0,354900.0,306000.0,315170.0
Merge Sort,Random,500,47500.0,46800.0,46200.0,47400.0,49000.0,47000.0,45800.0,50800.0,52600.0,55200.0,73800.0,51500.0,47900.0,46000.0,46400.0,52700.0,52400.0,73600.0,55100.0,61600.0,52465.0
Merge Sort,Sorted,500,31500.0,31200.0,31400.0,31000.0,32100.0,32100.0,31200.0,32300.0,31200.0,32500.0,53100.0,31200.0,31400.0,30700.0,30200.0,31100.0,39000.0,37300.0,31900.0,31100.0,33175.0
Merge Sort,ReverseSorted,500,33700.0,33800.0,33300.0,33700.0,33300.0,32900.0,32800.0,34200.0,33500.0,34300.0,55400.0,32900.0,33200.0,32400.0,32400.0,33200.0,33400.0,39900.0,34400.0,33300.0,34800.0
Quick Sort,Random,500,55200.0,65400.0,55600.0,55600.0,58000.0,55100.0,51400.0,75300.0,54700.0,56000.0,76200.0,58100.0,54400.0,62200.0,57700.0,55400.0,55600.0,69400.0,66300.0,56200.0,59690.0
Quick Sort,Sorted,500,35500.0,33100.0,34700.0,34500.0,35600.0,35700.0,33700.0,37900.0,36100.0,34700.0,50400.0,35400.0,35200.0,31700.0,31600.0,32800.0,33600.0,38200.0,32200.0,33300.0,35295.0
Quick Sort,ReverseSorted,500,35200.0,32100.0,34200.0,34100.0,35500.0,34400.0,33100.0,35500.0,35200.0,33900.0,51200.0,34700.0,36700.0,31300.0,31100.0,31700.0,32600.0,37800.0,30800.0,32600.0,34685.0
