Algorithm ,Case,Input Size(n),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
Bubble Sort,Random,1000,1329000.0,1358000.0,1284300.0,1335900.0,2206500.0,1962600.0,1801400.0,1415900.0,1397000.0,1389200.0,1711200.0,1319500.0,1485000.0,1395500.0,1331700.0,1378700.0,1417100.0,1448400.0,1368100.0,1404200.0,1486960.0
Bubble Sort,Sorted,1000,236100.0,234600.0,227700.0,227300.0,386000.0,385300.0,263400.0,244300.0,246500.0,243700.0,243900.0,243700.0,306200.0,244600.0,242800.0,227800.0,228400.0,243700.0,242800.0,243900.0,258135.0
Bubble Sort,ReverseSorted,1000,2320600.0,2490800.0,2541500.0,2421100.0,3441000.0,3340000.0,2561100.0,2502900.0,3109500.0,2473600.0,2611200.0,2542900.0,2540100.0,2388100.0,2497400.0,2328700.0,2402000.0,2497200.0,2619300.0,2488800.0,2605890.0
Insertion Sort,Random,1000,66200.0,73300.0,78900.0,67300.0,186800.0,123100.0,72900.0,74000.0,83200.0,72300.0,74300.0,70200.0,72500.0,73800.0,71000.0,66500.0,73500.0,73800.0,84400.0,71600.0,81480.0
Insertion Sort,Sorted,1000,600.0,700.0,700.0,600.0,2300.0,1400.0,600.0,700.0,800.0,600.0,700.0,600.0,700.0,700.0,700.0,600.0,600.0,600.0,700.0,600.0,775.0
Insertion Sort,ReverseSorted,1000,154200.0,151200.0,151300.0,140900.0,405900.0,327900.0,151500.0,151200.0,159100.0,148400.0,151200.0,151600.0,150900.0,151100.0,151200.0,150600.0,151500.0,152600.0,151300.0,154200.0,172890.0
Selection Sort,Random,1000,1132200.0,1369600.0,1131700.0,1171000.0,2728200.0,1231400.0,1195400.0,1618600.0,1222200.0,1231300.0,1209600.0,1200700.0,1202600.0,1200000.0,1205900.0,1144000.0,1212200.0,1210400.0,1249000.0,1212400.0,1303920.0
Selection Sort,Sorted,1000,1097300.0,1304400.0,1100000.0,1421800.0,2835100.0,1209700.0,1172900.0,1358500.0,1204100.0,1182500.0,1210700.0,1175200.0,1173500.0,1166200.0,1172600.0,1273000.0,1281500.0,1191700.0,1196000.0,1192500.0,1295960.0
Selection Sort,ReverseSorted,1000,1133000.0,1262200.0,1149100.0,1982700.0,2171300.0,1228900.0,1212100.0,1253600.0,1212100.0,1217500.0,1322600.0,1215100.0,1214400.0,1210500.0,1239400.0,1248600.0,1216400.0,1215700.0,1215200.0,1223300.0,1307185.0
Merge Sort,Random,1000,90700.0,140400.0,98300.0,144800.0,165600.0,166400.0,102800.0,102800.0,101500.0,100800.0,99200.0,100200.0,98600.0,98100.0,99000.0,96600.0,98100.0,99000.0,98200.0,95400.0,109825.0
Merge Sort,Sorted,1000,58600.0,64100.0,59100.0,73500.0,152600.0,121900.0,64200.0,62600.0,62200.0,62600.0,62800.0,64300.0,61900.0,61300.0,62200.0,61000.0,62200.0,61200.0,61500.0,62000.0,70090.0
Merge Sort,ReverseSorted,1000,61900.0,66400.0,61700.0,77100.0,132000.0,120900.0,67300.0,66100.0,68300.0,66600.0,65900.0,66500.0,65500.0,65500.0,65700.0,64900.0,65200.0,65100.0,65900.0,64900.0,72170.0
Quick Sort,Random,1000,105300.0,123500.0,104300.0,128800.0,186700.0,371500.0,130900.0,130000.0,121600.0,114000.0,110500.0,108000.0,106700.0,134900.0,129500.0,106000.0,106200.0,106300.0,104500.0,106200.0,131770.0
Quick Sort,Sorted,1000,60900.0,61400.0,71300.0,77300.0,119800.0,117600.0,63300.0,62900.0,64600.0,63200.0,64200.0,61700.0,63700.0,62700.0,62200.0,62900.0,62700.0,62400.0,62000.0,61200.0,69400.0
Quick Sort,ReverseSorted,1000,58700.0,60400.0,60500.0,74000.0,117600.0,104100.0,63100.0,62200.0,62700.0,63100.0,61500.0,61800.0,63300.0,62500.0,61900.0,61800.0,62200.0,60800.0,61300.0,62100.0,67280.0
