Algorithm ,Case,Input Size(n),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
Bubble Sort,Random,100,16200.0,17300.0,17000.0,19200.0,16000.0,17500.0,18500.0,16500.0,17400.0,14200.0,17700.0,21700.0,19100.0,18000.0,20600.0,21200.0,21700.0,25000.0,22600.0,19900.0,18865.0
Bubble Sort,Sorted,100,2900.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2700.0,2700.0,2800.0,3800.0,3600.0,3400.0,3300.0,3400.0,3300.0,3300.0,3400.0,3400.0,3300.0,3105.0
Bubble Sort,ReverseSorted,100,24200.0,24000.0,24100.0,24000.0,24000.0,24100.0,24100.0,24100.0,24100.0,24200.0,30500.0,30500.0,28700.0,28800.0,28800.0,28800.0,31500.0,28200.0,31000.0,27900.0,26780.0
Insertion Sort,Random,100,2200.0,2200.0,1900.0,1800.0,1800.0,1900.0,1800.0,1900.0,1800.0,1600.0,2700.0,2600.0,2300.0,2400.0,2100.0,2100.0,2400.0,2400.0,2500.0,2400.0,2140.0
Insertion Sort,Sorted,100,100.0,100.0,200.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,200.0,100.0,110.0
Insertion Sort,ReverseSorted,100,2600.0,2600.0,2500.0,2500.0,2400.0,2500.0,2500.0,2400.0,2500.0,2500.0,3300.0,3100.0,3000.0,2900.0,3000.0,3000.0,2900.0,2900.0,3100.0,2800.0,2750.0
Selection Sort,Random,100,11500.0,11500.0,11900.0,11500.0,11500.0,12000.0,12100.0,11500.0,12100.0,12000.0,15100.0,14500.0,14500.0,14400.0,14300.0,14100.0,19500.0,13800.0,13800.0,13900.0,13275.0
Selection Sort,Sorted,100,10700.0,9600.0,9500.0,9500.0,9500.0,9500.0,9400.0,9500.0,9500.0,9500.0,12200.0,12100.0,11300.0,11400.0,11400.0,67300.0,11200.0,11100.0,11100.0,11100.0,13320.0
Selection Sort,ReverseSorted,100,10400.0,10400.0,10600.0,10600.0,10500.0,10600.0,10500.0,10500.0,10600.0,10600.0,13500.0,13600.0,12800.0,12800.0,12700.0,12700.0,12300.0,12400.0,12100.0,12300.0,11625.0
Merge Sort,Random,100,10400.0,9900.0,8900.0,8800.0,8900.0,8600.0,8700.0,8800.0,9000.0,9700.0,14000.0,11700.0,10600.0,11100.0,10400.0,11200.0,11200.0,10600.0,10800.0,11700.0,10250.0
Merge Sort,Sorted,100,6900.0,7000.0,6500.0,6400.0,6500.0,6500.0,11600.0,6400.0,6500.0,8200.0,9000.0,8300.0,7700.0,7700.0,7500.0,7700.0,7900.0,7600.0,7500.0,8000.0,7570.0
Merge Sort,ReverseSorted,100,7500.0,7300.0,7300.0,7100.0,7100.0,6900.0,6900.0,6800.0,6800.0,8800.0,9800.0,9400.0,8400.0,8500.0,8200.0,8400.0,8400.0,8100.0,8100.0,8300.0,7905.0
Quick Sort,Random,100,13000.0,10100.0,10000.0,15500.0,11300.0,9500.0,10700.0,10400.0,10800.0,14100.0,16600.0,14700.0,11200.0,11300.0,11300.0,13300.0,13100.0,11000.0,11000.0,12500.0,12070.0
Quick Sort,Sorted,100,9400.0,8200.0,7800.0,8000.0,8100.0,6800.0,7400.0,7500.0,7500.0,10000.0,11600.0,9900.0,9400.0,8700.0,8600.0,9000.0,9900.0,9600.0,9200.0,10600.0,8860.0
Quick Sort,ReverseSorted,100,8800.0,7700.0,7600.0,8000.0,7800.0,6800.0,7400.0,7400.0,7400.0,9800.0,10500.0,9400.0,9000.0,8600.0,8500.0,8700.0,9200.0,31400.0,8900.0,9600.0,9625.0
